Paper ID,Publishability,Rationale
P001.pdf,1,Paper has structured methodology and scientific value.
P002.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P003.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P004.pdf,1,Paper has structured methodology and scientific value.
P005.pdf,1,Paper has structured methodology and scientific value.
P006.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P007.pdf,1,Paper has structured methodology and scientific value.
P008.pdf,1,Paper has structured methodology and scientific value.
P009.pdf,1,Paper has structured methodology and scientific value.
P010.pdf,1,Paper has structured methodology and scientific value.
P011.pdf,1,Paper has structured methodology and scientific value.
P012.pdf,1,Paper has structured methodology and scientific value.
P013.pdf,1,Paper has structured methodology and scientific value.
P014.pdf,1,Paper has structured methodology and scientific value.
P015.pdf,1,Paper has structured methodology and scientific value.
P016.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P017.pdf,1,Paper has structured methodology and scientific value.
P018.pdf,1,Paper has structured methodology and scientific value.
P019.pdf,1,Paper has structured methodology and scientific value.
P020.pdf,1,Paper has structured methodology and scientific value.
P021.pdf,1,Paper has structured methodology and scientific value.
P022.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P023.pdf,1,Paper has structured methodology and scientific value.
P024.pdf,1,Paper has structured methodology and scientific value.
P025.pdf,1,Paper has structured methodology and scientific value.
P026.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P027.pdf,1,Paper has structured methodology and scientific value.
P028.pdf,1,Paper has structured methodology and scientific value.
P029.pdf,1,Paper has structured methodology and scientific value.
P030.pdf,1,Paper has structured methodology and scientific value.
P031.pdf,1,Paper has structured methodology and scientific value.
P032.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P033.pdf,1,Paper has structured methodology and scientific value.
P034.pdf,1,Paper has structured methodology and scientific value.
P035.pdf,1,Paper has structured methodology and scientific value.
P036.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P037.pdf,1,Paper has structured methodology and scientific value.
P038.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P039.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P040.pdf,1,Paper has structured methodology and scientific value.
P041.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P042.pdf,1,Paper has structured methodology and scientific value.
P043.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P044.pdf,1,Paper has structured methodology and scientific value.
P045.pdf,1,Paper has structured methodology and scientific value.
P046.pdf,1,Paper has structured methodology and scientific value.
P047.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P048.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P049.pdf,1,Paper has structured methodology and scientific value.
P050.pdf,1,Paper has structured methodology and scientific value.
P051.pdf,1,Paper has structured methodology and scientific value.
P052.pdf,1,Paper has structured methodology and scientific value.
P053.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P054.pdf,1,Paper has structured methodology and scientific value.
P055.pdf,1,Paper has structured methodology and scientific value.
P056.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P057.pdf,1,Paper has structured methodology and scientific value.
P058.pdf,1,Paper has structured methodology and scientific value.
P059.pdf,1,Paper has structured methodology and scientific value.
P060.pdf,1,Paper has structured methodology and scientific value.
P061.pdf,1,Paper has structured methodology and scientific value.
P062.pdf,1,Paper has structured methodology and scientific value.
P063.pdf,1,Paper has structured methodology and scientific value.
P064.pdf,1,Paper has structured methodology and scientific value.
P065.pdf,1,Paper has structured methodology and scientific value.
P066.pdf,1,Paper has structured methodology and scientific value.
P067.pdf,1,Paper has structured methodology and scientific value.
P068.pdf,1,Paper has structured methodology and scientific value.
P069.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P070.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P071.pdf,1,Paper has structured methodology and scientific value.
P072.pdf,1,Paper has structured methodology and scientific value.
P073.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P074.pdf,1,Paper has structured methodology and scientific value.
P075.pdf,1,Paper has structured methodology and scientific value.
P076.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P077.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P078.pdf,1,Paper has structured methodology and scientific value.
P079.pdf,1,Paper has structured methodology and scientific value.
P080.pdf,1,Paper has structured methodology and scientific value.
P081.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P082.pdf,1,Paper has structured methodology and scientific value.
P083.pdf,1,Paper has structured methodology and scientific value.
P084.pdf,1,Paper has structured methodology and scientific value.
P085.pdf,1,Paper has structured methodology and scientific value.
P086.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P087.pdf,1,Paper has structured methodology and scientific value.
P088.pdf,1,Paper has structured methodology and scientific value.
P089.pdf,1,Paper has structured methodology and scientific value.
P090.pdf,1,Paper has structured methodology and scientific value.
P091.pdf,1,Paper has structured methodology and scientific value.
P092.pdf,1,Paper has structured methodology and scientific value.
P093.pdf,1,Paper has structured methodology and scientific value.
P094.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P095.pdf,1,Paper has structured methodology and scientific value.
P096.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P097.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P098.pdf,1,Paper has structured methodology and scientific value.
P099.pdf,1,Paper has structured methodology and scientific value.
P100.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P101.pdf,1,Paper has structured methodology and scientific value.
P102.pdf,1,Paper has structured methodology and scientific value.
P103.pdf,1,Paper has structured methodology and scientific value.
P104.pdf,1,Paper has structured methodology and scientific value.
P105.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P106.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P107.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P108.pdf,1,Paper has structured methodology and scientific value.
P109.pdf,1,Paper has structured methodology and scientific value.
P110.pdf,1,Paper has structured methodology and scientific value.
P111.pdf,1,Paper has structured methodology and scientific value.
P112.pdf,1,Paper has structured methodology and scientific value.
P113.pdf,1,Paper has structured methodology and scientific value.
P114.pdf,1,Paper has structured methodology and scientific value.
P115.pdf,1,Paper has structured methodology and scientific value.
P116.pdf,1,Paper has structured methodology and scientific value.
P117.pdf,1,Paper has structured methodology and scientific value.
P118.pdf,1,Paper has structured methodology and scientific value.
P119.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P120.pdf,1,Paper has structured methodology and scientific value.
P121.pdf,1,Paper has structured methodology and scientific value.
P122.pdf,1,Paper has structured methodology and scientific value.
P123.pdf,1,Paper has structured methodology and scientific value.
P124.pdf,1,Paper has structured methodology and scientific value.
P125.pdf,1,Paper has structured methodology and scientific value.
P126.pdf,1,Paper has structured methodology and scientific value.
P127.pdf,1,Paper has structured methodology and scientific value.
P128.pdf,1,Paper has structured methodology and scientific value.
P129.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P130.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P131.pdf,1,Paper has structured methodology and scientific value.
P132.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P133.pdf,1,Paper has structured methodology and scientific value.
P134.pdf,0,"Paper lacks structure, scientific evidence and incorrect assumptions."
P135.pdf,1,Paper has structured methodology and scientific value.